city_id,name,state,region,population,latitude,longitude
1,Abilene,TX,South,120099,32.4487364,-99.7331439
2,Akron,OH,Midwest,198100,41.0814447,-81.5190053
3,Albuquerque,NM,West,556495,35.0853336,-106.6055534
4,Alexandria,VA,South,148892,38.8048355,-77.0469214
5,Allentown,PA,Northeast,118577,40.6084305,-75.4901833
6,Amarillo,TX,South,196429,35.2219971,-101.8312969
7,Anaheim,CA,West,345012,33.8352932,-117.9145036
8,Anchorage,AK,West,300950,24.775487,-118.196207
9,Ann Arbor,MI,Midwest,117025,42.2808256,-83.7430378
10,Antioch,CA,West,107100,38.0049214,-121.805789
11,Arlington,TX,South,379577,32.735687,-97.1080656
12,Arvada,CO,West,111707,39.8027644,-105.0874842
13,Athens,GA,South,119980,33.9519347,-83.357567
14,Atlanta,GA,South,447841,33.7489954,-84.3879824
15,Augusta,GA,South,197350,33.4734978,-82.0105148
16,Aurora,IL,Midwest,199963,41.7605849,-88.3200715
17,Aurora,CO,West,345803,39.7294319,-104.8319195
18,Austin,TX,South,885400,30.267153,-97.7430608
19,Bakersfield,CA,West,363630,35.3732921,-119.0187125
20,Baltimore,MD,South,622104,39.2903848,-76.6121893
21,Baton Rouge,LA,South,229426,30.4183591,-91.1714508
22,Beaumont,TX,South,117796,30.080174,-94.1265562
23,Bellevue,WA,West,133992,47.610377,-122.2006786
24,Berkeley,CA,West,116768,37.8715926,-122.272747
25,Billings,MT,West,109059,45.7832856,-108.5006904
26,Birmingham,AL,South,212113,33.5206608,-86.80249
27,Boise,ID,West,214237,43.6187102,-116.2146068
28,Boston,MA,Northeast,645966,42.3600825,-71.0588801
29,Boulder,CO,West,103166,40.0149856,-105.2705456
30,Bridgeport,CT,Northeast,147216,41.1865478,-73.1951767
31,Broken Arrow,OK,South,103500,36.060949,-95.7974526
32,Brownsville,TX,South,181860,25.9017472,-97.4974838
33,Buffalo,NY,Northeast,258959,42.8864468,-78.8783689
34,Burbank,CA,West,104709,34.1808392,-118.3089661
35,Cambridge,MA,Northeast,107289,42.3736158,-71.1097335
36,Cape Coral,FL,South,165831,26.5628537,-81.9495331
37,Carlsbad,CA,West,110972,33.1580933,-117.3505939
38,Carrollton,TX,South,126700,32.9756415,-96.8899636
39,Cary,NC,South,151088,35.79154,-78.7811169
40,Cedar Rapids,IA,Midwest,128429,41.9778795,-91.6656232
41,Centennial,CO,West,106114,39.5807452,-104.8771726
42,Chandler,AZ,West,249146,33.3061605,-111.8412502
43,Charleston,SC,South,127999,32.7764749,-79.9310512
44,Charlotte,NC,South,792862,35.2270869,-80.8431267
45,Chattanooga,TN,South,173366,35.0456297,-85.3096801
46,Chesapeake,VA,South,230571,36.7682088,-76.2874927
47,Chula Vista,CA,West,256780,32.6400541,-117.0841955
48,Cincinnati,OH,Midwest,297517,39.1031182,-84.5120196
49,Clarksville,TN,South,142357,36.5297706,-87.3594528
50,Clearwater,FL,South,109703,27.9658533,-82.8001026
51,Cleveland,OH,Midwest,390113,41.49932,-81.6943605
52,College Station,TX,South,100050,30.627977,-96.3344068
53,Colorado Springs,CO,West,439886,38.8338816,-104.8213634
54,Columbia,SC,South,133358,34.0007104,-81.0348144
55,Columbia,MO,Midwest,115276,38.9517053,-92.3340724
56,Columbus,GA,South,202824,32.4609764,-84.9877094
57,Columbus,OH,Midwest,822553,39.9611755,-82.9987942
58,Concord,CA,West,125880,37.9779776,-122.0310733
59,Coral Springs,FL,South,126604,26.271192,-80.2706044
60,Corona,CA,West,159503,33.8752935,-117.5664384
61,Corpus Christi,TX,South,316381,27.8005828,-97.396381
62,Costa Mesa,CA,West,112174,33.6411316,-117.9186689
63,Daly City,CA,West,104739,37.6879241,-122.4702079
64,Davenport,IA,Midwest,102157,41.5236437,-90.5776367
65,Dayton,OH,Midwest,143355,39.7594,-84.1917
66,Denton,TX,South,123099,33.2148412,-97.1330683
67,Denver,CO,West,649495,39.7392358,-104.990251
68,Des Moines,IA,Midwest,207510,41.6005448,-93.6091064
69,Detroit,MI,Midwest,688701,42.331427,-83.0457538
70,Downey,CA,West,113242,33.9401088,-118.1331593
71,Durham,NC,South,245475,35.9940329,-78.898619
72,El Cajon,CA,West,102211,32.7947731,-116.9625269
73,El Monte,CA,West,115708,34.0686206,-118.0275667
74,El Paso,TX,South,674433,31.7775757,-106.4424559
75,Elgin,IL,Midwest,110145,42.0354084,-88.2825668
76,Elizabeth,NJ,Northeast,127558,40.6639916,-74.2107006
77,Elk Grove,CA,West,161007,38.4087993,-121.3716178
78,Erie,PA,Northeast,100671,42.1292241,-80.085059
79,Escondido,CA,West,148738,33.1192068,-117.086421
80,Eugene,OR,West,159190,44.0520691,-123.0867536
81,Evansville,IN,Midwest,120310,37.9715592,-87.5710898
82,Everett,WA,West,105370,47.9789848,-122.2020794
83,Fairfield,CA,West,109320,38.2493581,-122.0399663
84,Fargo,ND,Midwest,113658,46.8771863,-96.7898034
85,Fayetteville,NC,South,204408,35.0526641,-78.8783585
86,Flint,MI,Midwest,99763,43.0125274,-83.6874562
87,Fontana,CA,West,203003,34.0922335,-117.435048
88,Fort Wayne,IN,Midwest,256496,41.079273,-85.1393513
89,Fort Worth,TX,South,792727,32.7554883,-97.3307658
90,Fremont,CA,West,224922,37.5482697,-121.9885719
91,Fresno,CA,West,509924,36.7468422,-119.7725868
92,Frisco,TX,South,136791,33.1506744,-96.8236116
93,Ft Collins,CO,West,152061,40.5852602,-105.084423
94,Ft Lauderdale,FL,South,172389,26.1224386,-80.1373174
95,Fullerton,CA,West,138981,33.8703596,-117.9242966
96,Gainesville,FL,South,127488,29.6516344,-82.3248262
97,Garden Grove,CA,West,175140,33.7739053,-117.9414477
98,Garland,TX,South,234566,32.912624,-96.6388833
99,Gilbert,AZ,West,229972,33.3528264,-111.789027
100,Glendale,CA,West,196021,33.5386523,-112.1859866
101,Glendale,AZ,West,234632,33.5386523,-112.1859866
102,Grand Prairie,TX,South,183372,32.7459645,-96.9977846
103,Grand Rapids,MI,Midwest,192294,42.9633599,-85.6680863
104,Green Bay,WI,Midwest,104779,44.519159,-88.019826
105,Greensboro,NC,South,279639,36.0726354,-79.7919754
106,Gresham,OR,West,109397,45.5001357,-122.4302013
107,Hampton,VA,South,136699,37.0298687,-76.3452218
108,Hartford,CT,Northeast,125017,41.7637111,-72.6850932
109,Hayward,CA,West,151574,37.6688205,-122.0807964
110,Henderson,NV,West,270811,36.0395247,-114.9817213
111,Hialeah,FL,South,233394,25.8575963,-80.2781057
112,High Point,NC,South,107741,35.9556923,-80.0053176
113,Hollywood,FL,South,146526,26.0112014,-80.1494901
114,Honolulu,HI,West,347884,25.477424,-108.466785
115,Huntington Beach,CA,West,197575,33.660297,-117.9992265
116,Huntsville,AL,South,186254,34.7303688,-86.5861037
117,Independence,MO,Midwest,117240,39.0911161,-94.4155068
118,Indianapolis,IN,Midwest,843393,39.768403,-86.158068
119,Inglewood,CA,West,111542,33.9616801,-118.3531311
120,Irvine,CA,West,236716,33.6839473,-117.7946942
121,Irving,TX,South,228653,32.8140177,-96.9488945
122,Jackson,MS,South,172638,32.2987573,-90.1848103
123,Jacksonville,FL,South,842583,30.3321838,-81.655651
124,Jersey City,NJ,Northeast,257342,40.7281575,-74.0776417
125,Joliet,IL,Midwest,147806,41.525031,-88.0817251
126,Kansas City,MO,Midwest,467007,39.0997265,-94.5785667
127,Kansas City,KS,Midwest,148483,39.114053,-94.6274636
128,Kent,WA,West,124435,47.3809335,-122.2348431
129,Killeen,TX,South,137147,31.1171194,-97.7277959
130,Knoxville,TN,South,183270,35.9606384,-83.9207392
131,Lafayette,LA,South,124276,30.2240897,-92.0198427
132,Lakeland,FL,South,100710,28.0394654,-81.9498042
133,Lakewood,CO,West,147214,39.7047095,-105.0813734
134,Lancaster,CA,West,159523,34.6867846,-118.1541632
135,Lansing,MI,Midwest,113972,42.732535,-84.5555347
